Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SURFACE NORTH:Surface Inside Face Temperature [C](Hourly),SURFACE NORTH:Surface Outside Face Temperature [C](Hourly),SURFACE NORTH:Surface Inside Face Adjacent Air Temperature [C](Hourly),SURFACE NORTH:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),SURFACE NORTH:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE EAST:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE EAST:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE EAST:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE EAST:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),ZONE SURFACE EAST:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE SOUTH:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE SOUTH:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),ZONE SURFACE SOUTH:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE WEST:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE WEST:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE WEST:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE WEST:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),ZONE SURFACE WEST:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE ROOF:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE ROOF:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE ROOF:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE ROOF:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),ZONE SURFACE ROOF:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE SURFACE FLOOR:Surface Inside Face Temperature [C](Hourly),ZONE SURFACE FLOOR:Surface Outside Face Temperature [C](Hourly),ZONE SURFACE FLOOR:Surface Inside Face Adjacent Air Temperature [C](Hourly),ZONE SURFACE FLOOR:Surface Average Face Conduction Heat Transfer Rate [W](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Predicted Sensible Load to Setpoint Heat Transfer Rate [W](Hourly),ZONE ONE PURCHASED AIR:Zone Ideal Loads Zone Total Heating Rate [W](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 06/15  01:00:00,18.983,20.65701813799481,19.0707260499194,21.000093546156187,18.985274999051487,-19.59367422632141,20.65701813799481,19.0707260499194,21.000093546156187,18.985274999051487,-19.59367422632141,20.65701813799481,19.0707260499194,21.000093546156187,18.985274999051487,-19.59367422632141,20.65701813799481,19.0707260499194,21.000093546156187,18.985274999051487,-19.59367422632141,20.72621980384582,19.067198971256328,21.000093546156187,18.97780000310887,-71.27649966806558,20.999014139688473,18.0,21.000093546156187,-0.0018910039895572643,20.999780287912778,569522.5078590417,158.34946402399964,158.46765236642779,570483.54851914 
 06/15  02:00:00,18.622,20.59396662428097,18.724820976002725,21.000118198055123,18.624274999051487,-23.087745836826905,20.59396662428097,18.724820976002725,21.000118198055123,18.624274999051487,-23.087745836826905,20.59396662428097,18.724820976002725,21.000118198055123,18.624274999051487,-23.087745836826905,20.59396662428097,18.724820976002725,21.000118198055123,18.624274999051487,-23.087745836826905,20.676392443026447,18.721949897319956,21.000118198055123,18.61680000310887,-83.96982428977222,20.99563621861281,18.0,21.000118198055123,-0.0018888740688790115,20.999763493988883,652228.098211274,181.32842397539662,181.4494241142541,653217.9268113147 
 06/15  03:00:00,18.3655,20.549780815247974,18.479114360112536,21.000137203633038,18.367774999051488,-25.57491488200364,20.549780815247974,18.479114360112536,21.000137203633038,18.367774999051488,-25.57491488200364,20.549780815247974,18.479114360112536,21.000137203633038,18.367774999051488,-25.57491488200364,20.549780815247974,18.479114360112536,21.000137203633038,18.367774999051488,-25.57491488200364,20.641354154946523,18.476707984232924,21.000137203633038,18.360300003108872,-92.99358334504625,20.995865622567692,18.0,21.000137203633038,-0.0018890187176781497,20.99976286817333,719719.9142010158,200.05963013463497,200.17678481249766,720636.4253249916 
 06/15  04:00:00,18.1375,20.51064140082611,18.260746966346417,21.000150520203672,18.139774999051486,-27.7882048128659,20.510641400752696,18.260746965909554,21.000150520203672,18.139774999051486,-27.788204817388557,20.510641400752696,18.260746965909554,21.000150520203672,18.139774999051486,-27.788204817388557,20.51064140084323,18.260746966448277,21.000150520203672,18.139774999051486,-27.788204811811386,20.610293290700234,18.258751768416584,21.000150520203672,18.13230000310887,-101.02131294402204,20.99610270600228,18.0,21.000150520203672,-0.001889168208710797,20.999765405789383,779389.654036908,216.6196980831237,216.72961705758766,780226.6214073156 
 06/15  05:00:00,17.957,20.4794596591581,18.087830253264503,21.00015878813643,17.959274999051487,-29.537069441088434,20.479459521167406,18.08782946686633,21.00015878813643,17.959274999051487,-29.53707747331991,20.479459521167406,18.08782946686633,21.00015878813643,17.959274999051487,-29.53707747331991,20.47945976125172,18.087830838600325,21.00015878813643,17.959274999051487,-29.537063450225727,20.585583530653505,18.0861620551265,21.00015878813643,17.951800003108872,-107.36806326873187,20.99591877476908,18.0,21.00015878813643,-0.0018890522323667105,20.999772596358643,826777.8435060537,229.76766147013132,229.86758793149312,827523.3165533752 
 06/15  06:00:00,17.994999999999997,20.48565780596981,18.124052102163915,21.00015265956705,17.997274999051488,-29.16064999929978,20.48565755783467,18.12405071769479,21.00015265956705,17.997274999051488,-29.160664031751296,20.48565755783467,18.12405071769479,21.00015265956705,17.997274999051488,-29.160664031751296,20.48565823363003,18.124054520592715,21.00015265956705,17.997274999051488,-29.16062537703739,20.590613834053748,18.122323907522272,21.00015265956705,17.989800003108872,-106.01035597837607,20.996234707046195,18.0,21.00015265956705,-0.0018892514408961228,20.999793457060935,815726.7469987932,226.68044169588484,226.76441034099594,816351.8772275855 
 06/15  07:00:00,18.3845,20.55133884905001,18.496878341497393,21.000125384765436,18.386774999051486,-25.360599171072636,20.551338704377624,18.4968775473619,21.000125384765436,18.386774999051486,-25.36060717473885,20.551338704377624,18.4968775473619,21.000125384765436,18.386774999051486,-25.36060717473885,20.55133960725298,18.496882600990915,21.000125384765436,18.386774999051486,-25.360555900569523,20.642965977888757,18.494460032101358,21.000125384765436,18.37930000310887,-92.24890424218691,20.99648628663097,18.0,21.000125384765436,-0.0018894100723584441,20.999829138507156,712734.3217340033,198.05675852512195,198.11965788632006,713230.7683907521 
 06/15  08:00:00,19.3915,20.721648273450683,19.460897951783274,21.00006760118687,19.393774999051487,-15.544882685752707,20.721648264801892,19.46089791011424,21.00006760118687,19.393774999051487,-15.544883085111632,20.72164831638544,19.46089820986341,21.00006760118687,19.393774999051487,-15.544880007087453,20.72164921759361,19.46090322861034,21.00006760118687,19.393774999051487,-15.544829174545312,20.778664747681336,19.45668722088907,21.00006760118687,19.38630000310887,-56.695589773859574,20.995748257081395,18.0,21.00006760118687,-0.001888944713824723,20.999890846462378,447576.447910948,124.38602498478758,124.42088046302652,447915.1696668954 
 06/15  09:00:00,20.7785,20.968716502254754,20.78969975169627,21.011932739016498,20.780774999051488,-2.1846408061155693,20.968716502254736,20.78969975169627,21.011932739016498,20.780774999051488,-2.184640806115451,20.968716747474563,20.789701137053083,21.011932739016498,20.780774999051488,-2.184626705078716,20.968717376259384,20.789704622072477,21.011932739016498,20.780774999051488,-2.1845914674259728,20.97734048057185,20.783015433491336,21.011932739016498,20.773300003108872,-8.252461213704908,21.005893790207082,18.0,21.011932739016498,-0.0018953418972734305,21.018540450229665,87466.61861176716,-3.29320786835342,24.33034881181377,87589.25572252958 
 06/15  10:00:00,22.127499999999998,21.328828379585037,22.088213006679293,21.165664759538398,22.129774999051488,9.39629130543749,21.328828379585037,22.088213006679293,21.165664759538398,22.129774999051488,9.39629130543749,21.328828797125244,22.088215344141478,21.165664759538398,22.129774999051488,9.396315031005482,21.328829067015164,22.08821683570429,21.165664759538398,22.129774999051488,9.396330076960256,21.539110343546668,22.091983396466016,21.165664759538398,22.122300003108872,23.789091274059942,21.15810554020673,18.0,21.165664759538398,-0.0019913177790466074,21.26851252599906,0.0,-307.1483866517842,0.0,0.0 
 06/15  11:00:00,23.324499999999997,21.98924740666623,23.257828432573948,21.71534620393429,23.326774999051487,15.674445500550515,21.98924740666623,23.257828432573948,21.71534620393429,23.326774999051487,15.674445500550515,21.98924795135514,23.257831478056215,21.71534620393429,23.326774999051487,15.67447639461242,21.989247849535676,23.257830894803195,21.71534620393429,23.326774999051487,15.674470409341101,22.351688338760084,23.26928088174155,21.71534620393429,23.319300003108868,39.43524385112117,21.705673172613604,18.0,21.71534620393429,-0.0023365820989878893,21.89720023955145,0.0,-1139.6861569615003,0.0,0.0 
 06/15  12:00:00,24.227,22.784559514727313,24.155019757745496,22.48808348065359,24.229274999051484,16.923000741855784,22.784559514727313,24.155019757745496,22.48808348065359,24.229274999051484,16.923000741855784,22.78456012924014,24.155023190513788,22.48808348065359,24.229274999051484,16.923035549324517,22.78455967457043,24.155020638453106,22.48808348065359,24.229274999051484,16.92300961192597,23.178470367299507,24.16807975724719,22.48808348065359,24.221800003108868,42.50455904835357,22.47880088410381,18.0,22.48808348065359,-0.0028240714934250595,22.68823567468199,0.0,-2241.990358052422,0.0,0.0 
 06/15  13:00:00,24.892000000000003,23.548929221318687,24.825173117250856,23.272720053937082,24.894274999051486,15.75739098241571,23.548929360453947,24.825173904133777,23.272720053937082,24.894274999051486,15.757399008848784,23.54892983827721,24.825176560928195,23.272720053937082,24.894274999051486,15.757425886942201,23.548929221680538,24.82517311740527,23.272720053937082,24.894274999051486,15.757390974891997,23.915705009858026,24.83685992347676,23.272720053937082,24.88680000310887,39.558986705856626,23.26302978799709,18.0,23.272720053937082,-0.003318560654500629,23.45966003466928,0.0,-3335.9172653124715,0.0,0.0 
 06/15  14:00:00,25.3575,24.2184002923524,25.301213020082866,23.983893935049682,25.35977499905149,13.366224822639417,24.218400716208173,25.301215397523876,23.983893935049682,25.35977499905149,13.366248977138412,24.218400844115298,25.30121609711026,23.983893935049682,25.35977499905149,13.36625599733468,24.2184002923524,25.301213020082866,23.983893935049682,25.35977499905149,13.366224822639417,24.52934776096323,25.310060162877235,23.983893935049682,25.352300003108873,33.52027484112671,23.9741579860758,18.0,23.983893935049682,-0.0037669567596931145,24.14335675659769,0.0,-4314.0010563104215,0.0,0.0 
 06/15  15:00:00,25.5,24.718093893732632,25.46216180734114,24.55664555133113,25.502274999051487,9.179140061210163,24.71809456573808,25.462165569022915,24.55664555133113,25.502274999051487,9.17917824182625,24.718094322159413,25.462164193871917,24.55664555133113,25.502274999051487,9.179164227024511,24.718093893732632,25.46216180734114,24.55664555133113,25.502274999051487,9.179140061210163,24.93137318858913,25.46603195749801,24.55664555133113,25.49480000310887,22.94160069522492,24.547095251707436,18.0,24.55664555133113,-0.004128217695657891,24.667717155035422,0.0,-5081.542235480849,0.0,0.0 
 06/15  16:00:00,25.215,24.954800475375997,25.204062982529308,24.900209902259498,25.21727499905149,3.0652135425165468,24.954801339131052,25.2040678115939,24.900209902259498,25.21727499905149,3.065262525832147,24.95480073615418,25.204064429751746,24.900209902259498,25.21727499905149,3.0652281731582676,24.954800475375997,25.204062982529308,24.900209902259498,25.21727499905149,3.0652135425165468,25.026839837300866,25.200642801617875,24.900209902259498,25.20980000310887,7.432410437101943,24.890032242890534,18.0,24.900209902259498,-0.004344453828029499,24.939743729174197,0.0,-5511.364479565499,0.0,0.0 
 06/15  17:00:00,24.664,24.908283935705462,24.678853061311727,24.955451117913167,24.66627499905149,-2.8439248830114443,24.908284878390784,24.678858327634593,24.955451117913167,24.66627499905149,-2.8438714869061354,24.90828399705966,24.678853383379163,24.955451117913167,24.66627499905149,-2.843921685630836,24.90828393136131,24.678853035461536,24.955451117913167,24.66627499905149,-2.8439251506275363,24.91236872427312,24.671947567773373,24.955451117913167,24.65880000310887,-10.363549899048454,24.95450935545835,18.0,24.955451117913167,-0.0043851093472840824,24.934140958356238,0.0,-7882.283248554199,0.0,0.0 
 06/15  18:00:00,23.961000000000002,24.665222110454337,23.99940508641888,24.80647574160733,23.963274999051485,-8.232360580338973,24.665222893756113,23.999409438434093,24.80647574160733,23.963274999051485,-8.23231654045993,24.665221980104562,23.9994043445856,24.80647574160733,23.963274999051485,-8.232368150545899,24.66522198008027,23.999404344584523,24.80647574160733,23.963274999051485,-8.232368150301959,24.692626738538845,23.99375812126738,24.80647574160733,23.95580000310887,-30.05546175414994,24.807596522919624,18.0,24.80647574160733,-0.0042924746548458695,24.742367061648977,0.0,-8295.206934842332,0.0,0.0 
 06/15  19:00:00,22.9635,24.221672143795978,23.030395015721467,24.476708669855405,22.96577499905149,-14.724738852375738,24.221672600831177,23.030397545995978,24.476708669855405,22.96577499905149,-14.72471328772425,24.221671898444825,23.030393641713356,24.476708669855405,22.96577499905149,-14.724752796837931,24.221671898444825,23.030393641713356,24.476708669855405,22.96577499905149,-14.724752796837931,24.272455059487058,23.025939515125934,24.476708669855405,22.958300003108874,-53.591151879669944,24.477906053493417,18.0,24.476708669855405,-0.004084591009099296,24.36066469860651,0.0,-7516.058206153398,0.0,0.0 
 06/15  20:00:00,22.013500000000004,23.62095469009346,22.09810992147875,23.948799614152353,22.015774999051487,-18.81033849643662,23.620954812424582,22.098110587685245,23.948799614152353,22.015774999051487,-18.810331812737907,23.620954534470375,22.098109064106055,23.948799614152353,22.015774999051487,-18.810347139692503,23.620954534470375,22.098109064106055,23.948799614152353,22.015774999051487,-18.810347139692503,23.68684397250405,22.09442319042722,23.948799614152353,22.00830000310887,-68.41646797156343,23.950069271866784,18.0,23.948799614152353,-0.0037517678167435877,23.798191294543837,0.0,-6321.041341327896,0.0,0.0 
 06/15  21:00:00,21.2725,22.978650549862124,21.36207653612672,23.327007762043557,21.274774999051488,-19.963932374635586,22.97865055020523,21.36207653690226,23.327007762043557,21.274774999051488,-19.963932371357238,22.97865054885653,21.36207653326342,23.327007762043557,21.274774999051488,-19.963932392454648,22.97865054885653,21.36207653326342,23.327007762043557,21.274774999051488,-19.963932392454648,23.048766638994802,21.358609349119597,23.327007762043557,21.267300003108872,-72.60052203376007,23.328401943520696,18.0,23.327007762043557,-0.0033597805358160046,23.16671215048159,0.0,-4945.918778548688,0.0,0.0 
 06/15  22:00:00,20.5885,22.32637686533875,20.67969608285453,22.68124435637103,20.590774999051487,-20.33548115160429,22.32637686533875,20.67969608285453,22.68124435637103,20.590774999051487,-20.33548115160429,22.32637686533875,20.67969608285453,22.68124435637103,20.590774999051487,-20.33548115160429,22.32637686533875,20.67969608285453,22.68124435637103,20.590774999051487,-20.33548115160429,22.39782535046379,20.676297816118428,22.68124435637103,20.58330000310887,-73.94709452354294,22.682668945759623,18.0,22.68124435637103,-0.002952618842646461,22.518054770733023,0.0,-3523.7102963126217,0.0,0.0 
 06/15  23:00:00,19.9995,21.68682759054976,20.088044778624457,22.031589310391702,20.001774999051488,-19.741272562914496,21.68682759054976,20.088044778624457,22.031589310391702,20.001774999051488,-19.741272562914496,21.68682759054976,20.088044778624457,22.031589310391702,20.001774999051488,-19.741272562914496,21.68682759054976,20.088044778624457,22.031589310391702,20.001774999051488,-19.741272562914496,21.75623828454117,20.084541329239762,22.031589310391702,19.994300003108872,-71.79688058543346,22.03300120258848,18.0,22.031589310391702,-0.0025429761277405176,21.8727998335483,0.0,-2098.966422806904,0.0,0.0 
 06/15  24:00:00,19.4675,21.07900057498454,19.55217373196654,21.408207988844264,19.469774999051488,-18.85327635790686,21.07900057498454,19.55217373196654,21.408207988844264,19.469774999051488,-18.85327635790686,21.07900057498454,19.55217373196654,21.408207988844264,19.469774999051488,-18.85327635790686,21.07900057498454,19.55217373196654,21.408207988844264,19.469774999051488,-18.85327635790686,21.145229529612823,19.54850569219787,21.408207988844264,19.462300003108872,-68.57868192565738,21.40955223927844,18.0,21.408207988844264,-0.0021498654513676884,21.25672977616412,0.0,-733.3378399375342,0.0,0.0 
 01/15  01:00:00,-3.0,16.884257575961556,-1.9839024903140374,21.000000002279563,-2.9977250009485132,-233.00278203289434,16.884257575961556,-1.9839024903140374,21.000000002279563,-2.9977250009485132,-233.00278203289434,16.884257575961556,-1.9839024903140374,21.000000002279563,-2.9977250009485132,-233.00278203289434,16.884257575961556,-1.9839024903140374,21.000000002279563,-2.9977250009485132,-233.00278203289434,17.7311520938012,-1.9477802913908606,21.000000002279563,-3.005199996891128,-845.2695789846032,20.995907705611565,18.0,21.000000002279563,-0.00188904525279941,21.10392200849541,7157055.21228471,1705.7477141985364,2025.1482303252951,7290533.629171062 
 01/15  02:00:00,-3.0,16.884257575624368,-1.9839024903145304,21.000000002279563,-2.9977250009485132,-233.00278202873648,16.884257575624368,-1.9839024903145304,21.000000002279563,-2.9977250009485132,-233.00278202873648,16.884257575624368,-1.9839024903145304,21.000000002279563,-2.9977250009485132,-233.00278202873648,16.884257575624368,-1.9839024903145304,21.000000002279563,-2.9977250009485132,-233.00278202873648,17.731152093700437,-1.9477802913910005,21.000000002279563,-3.005199996891128,-845.2695789802812,20.995907707234238,18.0,21.000000002279563,-0.0018890452538225721,21.10392189766197,7157054.824231101,1705.7479064037288,2025.148112361215,7290533.204500373 
 01/15  03:00:00,-3.0,16.88425757528718,-1.9839024903150233,21.00000000227956,-2.9977250009485132,-233.00278202457858,16.88425757528718,-1.9839024903150233,21.00000000227956,-2.9977250009485132,-233.00278202457858,16.88425757528718,-1.9839024903150233,21.00000000227956,-2.9977250009485132,-233.00278202457858,16.88425757528718,-1.9839024903150233,21.00000000227956,-2.9977250009485132,-233.00278202457858,17.73115209359967,-1.9477802913911408,21.00000000227956,-3.005199996891128,-845.2695789759589,20.99590770885691,18.0,21.00000000227956,-0.0018890452548457359,21.103921786819456,7157054.436205583,1705.7480986578203,2025.1479905749613,7290532.766069861 
 01/15  04:00:00,-3.0,16.88425757494999,-1.9839024903155162,21.000000002279556,-2.9977250009485132,-233.00278202042074,16.88425757494999,-1.9839024903155162,21.000000002279556,-2.9977250009485132,-233.00278202042074,16.88425757494999,-1.9839024903155162,21.000000002279556,-2.9977250009485132,-233.00278202042074,16.88425757494999,-1.9839024903155162,21.000000002279556,-2.9977250009485132,-233.00278202042074,17.731152093498906,-1.947780291391281,21.000000002279556,-3.005199996891128,-845.2695789716367,20.995907710479578,18.0,21.000000002279556,-0.0018890452558688949,21.103921675989884,7157054.048261082,1705.748290882605,2025.1477267610671,7290531.816339842 
 01/15  05:00:00,-3.0,16.884257574612803,-1.9839024903160092,21.000000002279556,-2.9977250009485132,-233.0027820162629,16.884257574612803,-1.9839024903160092,21.000000002279556,-2.9977250009485132,-233.0027820162629,16.884257574612803,-1.9839024903160092,21.000000002279556,-2.9977250009485132,-233.0027820162629,16.884257574612803,-1.9839024903160092,21.000000002279556,-2.9977250009485132,-233.0027820162629,17.73115209339814,-1.9477802913914213,21.000000002279556,-3.005199996891128,-845.2695789673145,20.99590771210225,18.0,21.000000002279556,-0.0018890452568920582,21.103921565156803,7157053.66020875,1705.74848308719,2025.1476087975461,7290531.391671167 
